"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","index"
0.25,0.25,0.5,0,190569.737787115,977316.519514533,4290357.9267222,1249145600,2,0,438,737,0,0,0,0,0.372765957446809,0.627234042553191,0,0,0,0,0.0673228164915283,0.932677183508472,0,0,0,0,84096000,1165049600,0,0,0,22
0.5,0.25,0.25,0,652618.967563468,3770737.3528537,1648671.98661332,1248492800,2,0,3201,398,0,3,0,0,0.888672959466963,0.110494169905608,0,0.000832870627429206,0,0,0.492267156046074,0.50393434387447,0,0.0037985000794558,0,0,614592000,629158400,0,4742400,0,23
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-4471901.9773286,1249952000,2,0,6469,0,0,5,0,0,0.999227679950571,0,0,0.000772320049428483,0,0,0.993676557179796,0,0,0.0063234428202043,0,0,1242048000,0,0,7904000,0,24
0,0.5,0.5,0,460732.784075903,2622358.92729617,2985317.14659866,1249344000,2,0,1814,569,0,1,0,0,0.760906040268456,0.238674496644295,0,0.000419463087248322,0,0,0.278776702013217,0.719957993955228,0,0.00126530403155576,0,0,348288000,899475200,0,1580800,0,25
0.25,0.5,0.25,0,938507.080185792,5695290.4491014,-1543388.95853918,1249997808,2,0,5981,55,0,5,1,0,0.98990400529626,0.00910294604435617,0,0.000827540549486925,0.000165508109897385,0,0.918683211002879,0.0695553219722126,0,0.00632321108838296,0.00543825593652561,0,1148352000,86944000,0,7904000,6797808,26
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-4577107.83760144,1249907200,2,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,27
0,0.75,0.25,0,992330.41967794,6113359.8212852,-2543033.56313381,1249837808,2,0,6433,0,0,5,1,0,0.999068178288554,0,0,0.000776518092871564,0.000155303618574313,0,0.988237027311947,0,0,0.00632402056443471,0.00543895212361827,0,1235136000,0,0,7904000,6797808,28
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-4621400.62434105,1249907200,2,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,29
0,1,0,0,1018326.72922606,6407083.00401355,-4643249.43878166,1249907200,2,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,30
0,0,1,0,-131.473893815533,-1460.34944649616,4685569.15863932,1248832000,3,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,31
