index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,frontier_id,input_budget,input_2,input_1,input_spat,port_rast,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs,AWY_1_rast_abs,SDE_2_rast_abs,SDL_3_rast_abs,terracing_npix,grass_strips_npix,riparian_mgmt_npix,agroforestry_npix,reforestation_npix,road_mitigation_npix,terracing_frac_area,grass_strips_frac_area,riparian_mgmt_frac_area,agroforestry_frac_area,reforestation_frac_area,road_mitigation_frac_area,terracing_frac_alloc,grass_strips_frac_alloc,riparian_mgmt_frac_alloc,agroforestry_frac_alloc,reforestation_frac_alloc,road_mitigation_frac_alloc,terracing_budg,grass_strips_budg,riparian_mgmt_budg,agroforestry_budg,reforestation_budg,road_mitigation_budg
10,0.25,0.25,0.5,-1.426468,0.224986,4.123869,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_11_6_1_4_6.25e+08.tif,0,3238,0,0,2,0,0,0.999382716049,0.0,0,0.000617283950617,0.0,0,0.994940287195,0.0,0,0.00505971280497,0.0,0,621696000,0,0,3161600,0
11,0.0,0.5,0.5,-3.300041,0.233185,4.517159,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_12_6_1_4_6.25e+08.tif,0,3255,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,624960000,0,0,0,0
12,0.25,0.0,0.75,-1.83576,0.229109,4.28981,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_13_6_1_4_6.25e+08.tif,0,3238,0,0,2,0,0,0.999382716049,0.0,0,0.000617283950617,0.0,0,0.994940287195,0.0,0,0.00505971280497,0.0,0,621696000,0,0,3161600,0
13,0.0,0.25,0.75,-3.330513,0.231398,4.518382,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_14_6_1_4_6.25e+08.tif,0,3255,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,624960000,0,0,0,0
14,0.0,0.0,1.0,-3.325045,0.23035,4.518545,1,625000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_awy_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_sed_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/obj_rast_soil_4_Maragua_15_6_1_4_6.25e+08.tif,0,3255,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,624960000,0,0,0,0
15,1.0,0.0,0.0,4.685569,3e-06,-0.00146,2,1250000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_1_6_1_4_1.25e+09.tif,0,0,790,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,1248832000,0,0,0
16,1.0,0.0,0.0,6.541469,3e-05,0.00301,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_1_6_1_4_1.875e+09.tif,0,0,1186,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,1874828800,0,0,0
17,0.75,0.25,0.0,6.541469,3e-05,0.00301,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_2_6_1_4_1.875e+09.tif,0,0,1186,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,1874828800,0,0,0
18,0.5,0.5,0.0,6.53752,0.003767,0.023425,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_3_6_1_4_1.875e+09.tif,0,6,1185,0,0,0,0,0.00503778337531,0.994962216625,0,0.0,0.0,0,0.000614596670935,0.999385403329,0,0.0,0.0,0,1152000,1873248000,0,0,0
19,0.25,0.75,0.0,6.4797,0.031862,0.248075,3,1875000000.0,2.5,1,0,Maragua_maps/soln_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_awy_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_sed_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/obj_rast_soil_4_Maragua_4_6_1_4_1.875e+09.tif,0,95,1174,0,0,0,0,0.0748620961387,0.925137903861,0,0.0,0.0,0,0.00973267583701,0.990267324163,0,0.0,0.0,0,18240000,1855859200,0,0,0
