index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,esm_case,input_budget,input_2,input_1,input_spat,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs
0,0.0,0.0,1.0,2.5279773326,2e-06,-0.000544791707323,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_6.25e+08.tif
1,0.25,0.0,0.75,2.5279773326,2e-06,-0.000544791707323,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_6.25e+08.tif
2,0.5,0.0,0.5,2.52782418979,0.000979,0.00351497917877,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_6.25e+08.tif
3,0.75,0.0,0.25,2.48510880707,0.020579,0.139779871417,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_6.25e+08.tif
4,1.0,0.0,0.0,-2.39921921465,0.259452,4.02373999632,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_6.25e+08.tif
5,0.0,0.25,0.75,2.45534628201,0.021688,0.255153487867,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_6.25e+08.tif
6,0.25,0.25,0.5,2.23004296532,0.059879,0.769575769132,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_1_4_6.25e+08.tif
7,0.5,0.25,0.25,0.733971009287,0.160816,2.59009245347,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_1_4_6.25e+08.tif
8,0.75,0.25,0.0,-3.23124330083,0.238531,4.50726019657,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_1_4_6.25e+08.tif
9,0.0,0.5,0.5,1.05099417075,0.140714,2.28941061818,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_1_4_6.25e+08.tif
10,0.25,0.5,0.25,-1.42646845183,0.224986,4.12386880325,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_1_4_6.25e+08.tif
11,0.5,0.5,0.0,-3.30004135269,0.233185,4.51715929816,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_12_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_12_6_1_4_6.25e+08.tif
12,0.0,0.75,0.25,-1.83575993533,0.229109,4.28980993646,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_13_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_13_6_1_4_6.25e+08.tif
13,0.25,0.75,0.0,-3.33051310368,0.231398,4.51838203949,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_14_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_14_6_1_4_6.25e+08.tif
14,0.0,1.0,0.0,-3.32504544578,0.23035,4.51854541613,1,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_15_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_15_6_1_4_6.25e+08.tif
15,0.0,0.0,1.0,4.68556915864,3e-06,-0.0014603494465,1,1250000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_1.25e+09.tif
16,0.0,0.0,1.0,6.54146924525,3e-05,0.00300973644016,1,1875000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_1.875e+09.tif
17,0.25,0.0,0.75,6.54146924525,3e-05,0.00300973644016,1,1875000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_1.875e+09.tif
18,0.5,0.0,0.5,6.53752008401,0.003767,0.0234249321857,1,1875000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_1.875e+09.tif
19,0.75,0.0,0.25,6.47969975547,0.031862,0.248074502049,1,1875000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_1.875e+09.tif
20,1.0,0.0,0.0,-4.4526762925,0.399398,7.15169674416,1,1875000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_1.875e+09.tif
21,0.0,0.25,0.75,6.39562590982,0.04456,0.575028920239,1,1875000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_1.875e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_1.875e+09.tif
