index,esm_case,awy_weight,sde_weight,sdl_weight,sde_score,sdl_score,awy_score,input_budget,input_2,input_1,input_spat,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs
0,1,0.0,0.0,1.0,2e-06,-0.000544791707323,2.5279773326,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_1_4_6.25e+08.tif
1,1,0.25,0.0,0.75,2e-06,-0.000544791707323,2.5279773326,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_1_4_6.25e+08.tif
2,1,0.5,0.0,0.5,0.000979,0.00351497917877,2.52782418979,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_3_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_3_6_1_4_6.25e+08.tif
3,1,0.75,0.0,0.25,0.020579,0.139779871417,2.48510880707,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_1_4_6.25e+08.tif
4,1,1.0,0.0,0.0,0.259452,4.02373999632,-2.39921921465,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_1_4_6.25e+08.tif
5,1,0.0,0.25,0.75,0.021688,0.255153487867,2.45534628201,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_1_4_6.25e+08.tif
6,1,0.25,0.25,0.5,0.059879,0.769575769132,2.23004296532,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_1_4_6.25e+08.tif
7,1,0.5,0.25,0.25,0.160816,2.59009245347,0.733971009287,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_1_4_6.25e+08.tif
8,1,0.75,0.25,0.0,0.238531,4.50726019657,-3.23124330083,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_1_4_6.25e+08.tif
9,1,0.0,0.5,0.5,0.140714,2.28941061818,1.05099417075,625000000.0,2.5,1,0,Maragua_maps/mv_rast_awy_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_1_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_1_4_6.25e+08.tif
