index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score
145,0.25,0.25,0.5,-1.17073670175,0.286833880026,5.51823695312
146,0.0,0.5,0.5,-4.60150888463,0.313837974315,6.40565185329
147,0.25,0.0,0.75,-2.54303356313,0.307056607006,6.11335982129
148,0.0,0.25,0.75,-4.63347388312,0.311984981812,6.40686802365
149,0.0,0.0,1.0,-4.64324943878,0.310569019804,6.40708300401
150,1.0,0.0,0.0,4.68556915864,-9.54841335032e-06,-0.0014603494465
151,0.75,0.25,0.0,4.68556915864,-9.54841335032e-06,-0.0014603494465
152,0.5,0.5,0.0,4.67884758552,0.0113566963203,0.0428087414028
153,0.25,0.75,0.0,4.32739939838,0.18286908761,0.867729204275
154,0.0,1.0,0.0,-4.04573746075,1.04738751975,6.22764421935
155,0.75,0.0,0.25,4.60845400237,0.0595891804144,0.291472869458
156,0.5,0.25,0.25,4.29035792672,0.190569737787,0.977316519515
157,0.25,0.5,0.25,1.64867198661,0.652618967563,3.77073735285
158,0.0,0.75,0.25,-4.47190197733,1.03433231043,6.38618098331
159,0.5,0.0,0.5,2.9853171466,0.460732784076,2.6223589273
160,0.25,0.25,0.5,-1.54338895854,0.938507080186,5.6952904491
161,0.0,0.5,0.5,-4.5771078376,1.02536353934,6.40394791093
162,0.25,0.0,0.75,-2.54303356313,0.992330419678,6.11335982129
163,0.0,0.25,0.75,-4.62140062434,1.02110268783,6.40666307256
164,0.0,0.0,1.0,-4.64324943878,1.01832672923,6.40708300401
165,1.0,0.0,0.0,4.68556915864,-0.000131473893816,-0.0014603494465
166,0.75,0.25,0.0,4.68556915864,-0.000131473893816,-0.0014603494465
167,0.5,0.5,0.0,4.64292813366,0.0562598567705,0.18282531874
168,0.25,0.75,0.0,3.65373755251,0.534138017297,1.8661341351
169,0.0,1.0,0.0,-4.37544081271,1.71128813266,6.36878201212
170,0.75,0.0,0.25,4.60845400237,0.0864518910399,0.291472869458
171,0.5,0.25,0.25,4.17251669645,0.336831418893,1.17125724833
172,0.25,0.5,0.25,0.732265276852,1.20976135394,4.42424074523
173,0.0,0.75,0.25,-4.53991092877,1.70787184212,6.40012541888
174,0.5,0.0,0.5,2.9853171466,0.728077738923,2.6223589273
175,0.25,0.25,0.5,-1.86664870274,1.57508413494,5.84232713281
176,0.0,0.5,0.5,-4.59223685096,1.70494855489,6.40544316015
177,0.25,0.0,0.75,-2.54303356313,1.64010550244,6.11335982129
178,0.0,0.25,0.75,-4.62902499869,1.70282762972,6.40683846317
179,0.0,0.0,1.0,-4.64324943878,1.70128591957,6.40708300401
180,1.0,0.0,0.0,3.36563356252,2.18900336154e-05,0.000591121696729
181,0.75,0.25,0.0,3.36563356252,2.18900336154e-05,0.000591121696729
182,0.5,0.5,0.0,3.36520113094,0.00275667065088,0.0154486145398
183,0.25,0.75,0.0,3.30731740139,0.0294546855959,0.211589680654
184,0.0,1.0,0.0,-4.70339144367,0.343057622821,5.78862165562
185,0.75,0.0,0.25,3.25391673833,0.0346577097282,0.439017825846
186,0.5,0.25,0.25,2.89993827925,0.0908021461497,1.25704313032
187,0.25,0.5,0.25,1.01870515966,0.208981479772,3.59525605545
188,0.0,0.75,0.25,-6.1386738758,0.318937808165,6.39573933256
189,0.5,0.0,0.5,1.36712118516,0.187767697121,3.26829870041
190,0.25,0.25,0.5,-1.95186540399,0.290739931387,5.59749065998
191,0.0,0.5,0.5,-6.22490360939,0.313837974315,6.40565185329
192,0.25,0.0,0.75,-2.7585748403,0.301273069514,5.9271858004
193,0.0,0.25,0.75,-6.26816826733,0.311984981812,6.40686802365
194,0.0,0.0,1.0,-6.28125431333,0.310569019804,6.40708300401
195,1.0,0.0,0.0,3.36563356252,0.000122757317314,0.000591121696729
196,0.75,0.25,0.0,3.36563356252,0.000122757317314,0.000591121696729
197,0.5,0.5,0.0,3.34309033449,0.0285078821856,0.11843821621
198,0.25,0.75,0.0,2.89496037506,0.249192288278,1.21412695417
199,0.0,1.0,0.0,-5.46978575214,1.04738751975,6.22764421935
200,0.75,0.0,0.25,3.25391673833,0.0878051243919,0.439017825846
201,0.5,0.25,0.25,2.77257255887,0.278699077926,1.48479434803
202,0.25,0.5,0.25,0.295182021351,0.721584473133,4.19675580907
203,0.0,0.75,0.25,-6.04948060127,1.03433231043,6.38618098331
204,0.5,0.0,0.5,1.36712118516,0.564768703354,3.26829870041
205,0.25,0.25,0.5,-2.06840146044,0.934807082186,5.65293747496
206,0.0,0.5,0.5,-6.19208111641,1.02536353934,6.40394791093
207,0.25,0.0,0.75,-2.7585748403,0.968393356994,5.9271858004
208,0.0,0.25,0.75,-6.25186004304,1.02110268783,6.40666307256
209,0.0,0.0,1.0,-6.28125431333,1.01832672923,6.40708300401
210,1.0,0.0,0.0,3.36563356252,0.000227090861076,0.000591121696729
211,0.75,0.25,0.0,3.36563356252,0.000227090861076,0.000591121696729
212,0.5,0.5,0.0,3.29577913541,0.0935529061576,0.309928689013
213,0.25,0.75,0.0,2.07657728189,0.697315942998,2.45995733683
214,0.0,1.0,0.0,-5.91811471648,1.71128813266,6.36878201212
215,0.75,0.0,0.25,3.25391673833,0.129106141358,0.439017825846
216,0.5,0.25,0.25,2.63381072519,0.485383001601,1.7136009455
217,0.25,0.5,0.25,-0.451538216638,1.29449095531,4.73456377359
218,0.0,0.75,0.25,-6.14205248224,1.70787184212,6.40012541888
219,0.5,0.0,0.5,1.36712118516,0.901375319414,3.26829870041
220,0.25,0.25,0.5,-2.14440905229,1.53794514062,5.68771784982
221,0.0,0.5,0.5,-6.21254798664,1.70494855489,6.40544316015
222,0.25,0.0,0.75,-2.7585748403,1.59509518619,5.9271858004
223,0.0,0.25,0.75,-6.26223388678,1.70282762972,6.40683846317
224,0.0,0.0,1.0,-6.28125431333,1.70128591957,6.40708300401
225,1.0,0.0,0.0,2.0347610311,0.000149498088202,0.0192815589435
226,0.75,0.25,0.0,2.0338860628,0.0033064956969,0.0394333467524
227,0.5,0.5,0.0,2.02382017846,0.0167813724951,0.160989368476
228,0.25,0.75,0.0,1.88355282103,0.0790236808695,0.855344567534
229,0.0,1.0,0.0,-6.22638321651,0.343057622821,5.78862165562
230,0.75,0.0,0.25,1.66822911469,0.101044945633,1.83452421255
231,0.5,0.25,0.25,1.31028050108,0.138147839467,2.4597915984
232,0.25,0.5,0.25,-0.327660096553,0.235301261978,4.2410103685
233,0.0,0.75,0.25,-8.13790972755,0.318937808165,6.39573933256
234,0.5,0.0,0.5,-0.0180087760551,0.215598480481,3.98331884435
235,0.25,0.25,0.5,-1.9188372439,0.279742571951,5.32093513936
236,0.0,0.5,0.5,-8.25235880956,0.313837974315,6.40565185329
237,0.25,0.0,0.75,-2.84591816576,0.292853497747,5.70043268285
238,0.0,0.25,0.75,-8.30957813876,0.311984981812,6.40686802365
239,0.0,0.0,1.0,-8.32678087698,0.310569019804,6.40708300401
240,1.0,0.0,0.0,2.0347610311,0.0013434051209,0.0192815589435
241,0.75,0.25,0.0,2.02778107323,0.0323735006798,0.170400951339
242,0.5,0.5,0.0,1.90699758346,0.189706009675,1.03679274239
243,0.25,0.75,0.0,1.32200550557,0.429352646195,2.25457375611
244,0.0,1.0,0.0,-7.24708044191,1.04738751975,6.22764421935
245,0.75,0.0,0.25,1.66822911469,0.306203827512,1.83452421255
246,0.5,0.25,0.25,1.17500511104,0.450491671666,2.64906791914
247,0.25,0.5,0.25,-0.953641531574,0.802476255395,4.7280503899
248,0.0,0.75,0.25,-8.01920624048,1.03433231043,6.38618098331
249,0.5,0.0,0.5,-0.0180087760551,0.669231440963,3.98331884435
250,0.25,0.25,0.5,-2.05977237625,0.896232972359,5.38739910433
251,0.0,0.5,0.5,-8.20867644448,1.02536353934,6.40394791093
252,0.25,0.0,0.75,-2.84591816576,0.936697084427,5.70043268285
253,0.0,0.25,0.75,-8.28786844672,1.02110268783,6.40666307256
254,0.0,0.0,1.0,-8.32678087698,1.01832672923,6.40708300401
255,1.0,0.0,0.0,2.0347610311,0.0036213383291,0.0192815589435
256,0.75,0.25,0.0,2.00473458559,0.128652998079,0.467242581585
257,0.5,0.5,0.0,1.7809450318,0.416183658667,1.49707991666
258,0.25,0.75,0.0,0.56936299686,0.93285757845,3.34518634355
259,0.0,1.0,0.0,-7.84430434347,1.71128813266,6.36878201212
260,0.75,0.0,0.25,1.66822911469,0.496961947115,1.83452421255
261,0.5,0.25,0.25,1.03732138889,0.775921906189,2.84189823067
262,0.25,0.5,0.25,-1.42573199563,1.37680105633,5.04965304767
263,0.0,0.75,0.25,-8.1424534573,1.70787184212,6.40012541888
264,0.5,0.0,0.5,-0.0180087760551,1.08517261197,3.98331884435
265,0.25,0.25,0.5,-2.15836539822,1.47255312467,5.43295316518
266,0.0,0.5,0.5,-8.23596130638,1.70494855489,6.40544316015
267,0.25,0.0,0.75,-2.84591816576,1.53824639683,5.70043268285
268,0.0,0.25,0.75,-8.30167879229,1.70282762972,6.40683846317
269,0.0,0.0,1.0,-8.32678087698,1.70128591957,6.40708300401
