"esm_case","SDE_wt","SDL_wt","AWY_wt","cost_wt","SDE_2_agg_delta_abs","SDL_3_agg_delta_abs","AWY_1_agg_delta_abs","cost","budget","wt_case","awy_1","sdr_1","sdr_biophysical_table_path","awy_biophysical_table_uri","cat_scen","port_rast","AWY_1_rast_delta_abs","SDE_2_rast_delta_abs","SDL_3_rast_delta_abs","frontier_id"
1,0.25,0.5,0.25,0,224986.150035692,4123868.80324715,-1426468.45183119,624857600,6.25e+08,11,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_11_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_11_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_11_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_11_6_1_4_6.25e+08.tif",1
1,0.5,0.5,0,0,233184.66152229,4517159.29815755,-3300041.35269021,624960000,6.25e+08,12,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_12_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_12_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_12_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_12_6_1_4_6.25e+08.tif",1
1,0,0.75,0.25,0,229108.836406158,4289809.93645543,-1835759.93532972,624857600,6.25e+08,13,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_13_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_13_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_13_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_13_6_1_4_6.25e+08.tif",1
1,0.25,0.75,0,0,231397.876802932,4518382.03949411,-3330513.10367834,624960000,6.25e+08,14,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_14_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_14_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_14_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_14_6_1_4_6.25e+08.tif",1
1,0,1,0,0,230349.821044521,4518545.4161258,-3325045.44578328,624960000,6.25e+08,15,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_15_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_15_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_15_6_1_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_15_6_1_4_6.25e+08.tif",1
1,0,0,1,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1.25e+09,1,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_1_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_1_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_1_6_1_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_1_6_1_4_1.25e+09.tif",2
1,0,0,1,0,30.2886079763745,3009.7364401558,6541469.24524755,1874828800,1.875e+09,1,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_1_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_1_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_1_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_1_6_1_4_1.875e+09.tif",3
1,0.25,0,0.75,0,30.2886079763745,3009.7364401558,6541469.24524755,1874828800,1.875e+09,2,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_2_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_2_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_2_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_2_6_1_4_1.875e+09.tif",3
1,0.5,0,0.5,0,3767.16538168669,23424.9321856523,6537520.08401424,1874400000,1.875e+09,3,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_3_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_3_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_3_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_3_6_1_4_1.875e+09.tif",3
1,0.75,0,0.25,0,31862.4371059893,248074.502048834,6479699.75546932,1874099200,1.875e+09,4,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_4_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_4_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_4_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_4_6_1_4_1.875e+09.tif",3
1,1,0,0,0,399398.208843401,7151696.74416067,-4452676.29250405,1874988800,1.875e+09,5,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_5_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_5_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_5_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_5_6_1_4_1.875e+09.tif",3
1,0,0.25,0.75,0,44559.6384394599,575028.920238797,6395625.90981635,1874003200,1.875e+09,6,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_6_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_6_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_6_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_6_6_1_4_1.875e+09.tif",3
1,0.25,0.25,0.5,0,88638.1605802983,1227927.00246821,6115700.81793614,1874508800,1.875e+09,7,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua solns-only_2017-02-04_lulcindices/soln_4_Maragua_7_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_7_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_7_6_1_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_7_6_1_4_1.875e+09.tif",3
