"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","index"
0.25,0.5,0.25,0,934807.082185983,5652937.47496423,-2068401.46044325,1249959408,5,71
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-6192081.11641219,1249907200,5,72
0,0.75,0.25,0,968393.356994413,5927185.80039637,-2758574.84030151,1249837808,5,73
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-6251860.04303581,1249907200,5,74
0,1,0,0,1018326.72922606,6407083.00401355,-6281254.31333409,1249907200,5,75
0,0,1,0,227.090861076194,591.121696729481,3365633.5625217,1248832000,6,76
0.25,0,0.75,0,227.090861076194,591.121696729481,3365633.5625217,1248832000,6,77
0.5,0,0.5,0,93552.9061575942,309928.689013281,3295779.13541369,1249312000,6,78
0.75,0,0.25,0,697315.942997777,2459957.33683016,2076577.28189449,1249478400,6,79
1,0,0,0,1711288.13266197,6368782.01211816,-5918114.7164813,1249952000,6,80
0,0.25,0.75,0,129106.141358039,439017.825845752,3253916.73832571,1248761600,6,81
0.25,0.25,0.5,0,485383.001601289,1713600.94549749,2633810.72518779,1248524800,6,82
0.5,0.25,0.25,0,1294490.95531197,4734563.77358739,-451538.216638145,1249959408,6,83
0.75,0.25,0,0,1707871.84212123,6400125.41887972,-6142052.48223543,1249907200,6,84
0,0.5,0.5,0,901375.319413799,3268298.70041232,1367121.18515892,1249568000,6,85
0.25,0.5,0.25,0,1537945.1406182,5687717.8498211,-2144409.05229067,1249914608,6,86
0.5,0.5,0,0,1704948.55488931,6405443.16015254,-6212547.98664315,1249907200,6,87
0,0.75,0.25,0,1595095.18618937,5927185.80039637,-2758574.84030151,1249837808,6,88
0.25,0.75,0,0,1702827.62972491,6406838.46316918,-6262233.88678221,1249907200,6,89
0,1,0,0,1701285.91957491,6407083.00401355,-6281254.31333409,1249907200,6,90
0,0,1,0,149.49808820201,19281.5589435261,2034761.03109508,1248832000,7,91
0.25,0,0.75,0,3306.49569690206,39433.3467524427,2033886.06279562,1248832000,7,92
0.5,0,0.5,0,16781.3724950746,160989.368475616,2023820.17846249,1249747200,7,93
0.75,0,0.25,0,79023.6808694523,855344.567534438,1883552.82102714,1248627200,7,94
1,0,0,0,343057.622821482,5788621.6556215,-6226383.21650824,1249849600,7,95
0,0.25,0.75,0,101044.945632636,1834524.21255063,1668229.11469071,1248492800,7,96
0.25,0.25,0.5,0,138147.839467342,2459791.5984009,1310280.50107949,1249196800,7,97
0.5,0.25,0.25,0,235301.261977551,4241010.36850156,-327660.096553232,1248653808,7,98
0.75,0.25,0,0,318937.808165381,6395739.33255668,-8137909.72754773,1249907200,7,99
0,0.5,0.5,0,215598.480481142,3983318.84434584,-18008.7760550561,1249869808,7,100
0.25,0.5,0.25,0,279742.571950728,5320935.13936482,-1918837.24389954,1249812208,7,101
0.5,0.5,0,0,313837.974314705,6405651.85328516,-8252358.80956484,1249907200,7,102
0,0.75,0.25,0,292853.497747021,5700432.68285057,-2845918.16575563,1249972208,7,103
0.25,0.75,0,0,311984.981812264,6406868.02364803,-8309578.1387586,1249907200,7,104
0,1,0,0,310569.019803984,6407083.00401355,-8326780.87698215,1249907200,7,105
0,0,1,0,1343.40512090418,19281.5589435261,2034761.03109508,1248832000,8,106
0.25,0,0.75,0,32373.5006798388,170400.951339044,2027781.07322686,1249600000,8,107
0.5,0,0.5,0,189706.009675403,1036792.74238636,1906997.58345504,1248736000,8,108
0.75,0,0.25,0,429352.646195334,2254573.75610796,1322005.50556904,1249516800,8,109
1,0,0,0,1047387.51974783,6227644.21934819,-7247080.44190933,1249894400,8,110
0,0.25,0.75,0,306203.827512384,1834524.21255063,1668229.11469071,1248492800,8,111
0.25,0.25,0.5,0,450491.671665856,2649067.91914266,1175005.11104393,1248486400,8,112
0.5,0.25,0.25,0,802476.25539494,4728050.38989835,-953641.531574154,1249985008,8,113
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-8019206.24048069,1249952000,8,114
0,0.5,0.5,0,669231.440962834,3983318.84434584,-18008.7760550561,1249869808,8,115
0.25,0.5,0.25,0,896232.972358766,5387399.1043275,-2059772.3762526,1249914608,8,116
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-8208676.44447588,1249907200,8,117
0,0.75,0.25,0,936697.084427133,5700432.68285057,-2845918.16575563,1249972208,8,118
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-8287868.44671859,1249907200,8,119
0,1,0,0,1018326.72922606,6407083.00401355,-8326780.87698215,1249907200,8,120
0,0,1,0,5486.13999840654,29049.0275832805,2034761.03109508,1248832000,9,121
0.25,0,0.75,0,544415.963786654,1842770.78349138,1909076.51137749,1249273600,9,122
0.5,0,0.5,0,1865451.31535399,6469073.21393382,991591.379815558,1248723200,9,123
0.75,0,0.25,0,3258934.95069425,11495843.8940597,-1250251.21735261,1249920000,9,124
1,0,0,0,3612850.37114065,12827160.5857638,-5560080.81665286,1249920000,9,125
0,0.25,0.75,0,2133475.75417312,7525717.39027755,677707.656981928,1249696000,9,126
0.25,0.25,0.5,0,3159037.04109274,11252118.4550035,-1019528.62229769,1249914608,9,127
0.5,0.25,0.25,0,3385436.36822178,12055705.8432263,-1822764.15718034,1249920000,9,128
0.75,0.25,0,0,3605672.35692818,12891823.9215484,-5671639.32377169,1249920000,9,129
0,0.5,0.5,0,3279313.08229675,11722482.1634014,-1385717.17996156,1249920000,9,130
0.25,0.5,0.25,0,3440270.29692583,12297618.6261128,-2267543.81470528,1249920000,9,131
0.5,0.5,0,0,3598588.82737739,12904565.3482744,-5723556.22895774,1249920000,9,132
0,0.75,0.25,0,3486868.35312326,12488955.0996991,-2761802.46003356,1249920000,9,133
0.25,0.75,0,0,3593309.93023514,12907928.7427746,-5745668.14257082,1249920000,9,134
0,1,0,0,3589642.05292313,12908460.5865498,-5776912.5031344,1249920000,9,135
0,0,1,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,10,136
0.25,0,0.75,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,10,137
0.5,0,0.5,0,979.79878234315,2599.42143959347,4685416.01583542,1249024000,10,138
0.75,0,0.25,0,21773.6890508687,148775.249264939,4644029.34283412,1249952000,10,139
1,0,0,0,343057.622821482,5788621.6556215,-3483823.65670308,1249849600,10,140
0,0.25,0.75,0,24703.870368756,291472.869457971,4608454.00237468,1249772800,10,141
0.25,0.25,0.5,0,65222.0545183548,841973.946243537,4367498.88185707,1249491200,10,142
0.5,0.25,0.25,0,179333.40475995,2977099.24895998,2608459.84943977,1249113600,10,143
0.75,0.25,0,0,318937.808165381,6395739.33255668,-4537624.65166098,1249907200,10,144
0,0.5,0.5,0,157022.468776426,2622358.92729617,2985317.14659866,1249344000,10,145
0.25,0.5,0.25,0,286833.880026203,5518236.95312359,-1170736.7017515,1249927408,10,146
0.5,0.5,0,0,313837.974314705,6405651.85328516,-4601508.88462527,1249907200,10,147
0,0.75,0.25,0,307056.60700609,6113359.8212852,-2543033.56313381,1249837808,10,148
0.25,0.75,0,0,311984.981812264,6406868.02364803,-4633473.88311854,1249907200,10,149
0,1,0,0,310569.019803984,6407083.00401355,-4643249.43878166,1249907200,10,150
0,0,1,0,-9.54841335031756,-1460.34944649616,4685569.15863932,1248832000,11,151
0.25,0,0.75,0,-9.54841335031756,-1460.34944649616,4685569.15863932,1248832000,11,152
0.5,0,0.5,0,11356.6963203011,42808.7414027799,4678847.58552084,1249555200,11,153
0.75,0,0.25,0,182869.0876103,867729.204275216,4327399.39837692,1248556800,11,154
1,0,0,0,1047387.51974783,6227644.21934819,-4045737.46075193,1249894400,11,155
0,0.25,0.75,0,59589.1804143796,291472.869457971,4608454.00237468,1249772800,11,156
0.25,0.25,0.5,0,190569.737787115,977316.519514533,4290357.9267222,1249145600,11,157
0.5,0.25,0.25,0,652618.967563468,3770737.3528537,1648671.98661332,1248492800,11,158
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-4471901.9773286,1249952000,11,159
0,0.5,0.5,0,460732.784075903,2622358.92729617,2985317.14659866,1249344000,11,160
0.25,0.5,0.25,0,938507.080185792,5695290.4491014,-1543388.95853918,1249997808,11,161
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-4577107.83760144,1249907200,11,162
0,0.75,0.25,0,992330.41967794,6113359.8212852,-2543033.56313381,1249837808,11,163
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-4621400.62434105,1249907200,11,164
0,1,0,0,1018326.72922606,6407083.00401355,-4643249.43878166,1249907200,11,165
0,0,1,0,-131.473893815533,-1460.34944649616,4685569.15863932,1248832000,12,166
0.25,0,0.75,0,-131.473893815533,-1460.34944649616,4685569.15863932,1248832000,12,167
0.5,0,0.5,0,56259.8567705055,182825.318740369,4642928.13366356,1249952000,12,168
0.75,0,0.25,0,534138.017296816,1866134.13510348,3653737.55251223,1248544000,12,169
1,0,0,0,1711288.13266197,6368782.01211816,-4375440.8127137,1249952000,12,170
0,0.25,0.75,0,86451.8910398616,291472.869457971,4608454.00237468,1249772800,12,171
0.25,0.25,0.5,0,336831.4188928,1171257.24833433,4172516.69645095,1249241600,12,172
0.5,0.25,0.25,0,1209761.35393723,4424240.74522853,732265.276851834,1248780800,12,173
0.75,0.25,0,0,1707871.84212123,6400125.41887972,-4539910.92877181,1249907200,12,174
0,0.5,0.5,0,728077.738922602,2622358.92729617,2985317.14659866,1249344000,12,175
0.25,0.5,0.25,0,1575084.13494041,5842327.1328059,-1866648.70273618,1249850608,12,176
0.5,0.5,0,0,1704948.55488931,6405443.16015254,-4592236.85096463,1249907200,12,177
0,0.75,0.25,0,1640105.50243588,6113359.8212852,-2543033.56313381,1249837808,12,178
0.25,0.75,0,0,1702827.62972491,6406838.46316918,-4629024.99868644,1249907200,12,179
0,1,0,0,1701285.91957491,6407083.00401355,-4643249.43878166,1249907200,12,180
0,0,1,0,21.8900336153735,591.121696729481,3365633.5625217,1248832000,13,181
0.25,0,0.75,0,21.8900336153735,591.121696729481,3365633.5625217,1248832000,13,182
0.5,0,0.5,0,2756.67065088227,15448.6145397533,3365201.13093936,1249600000,13,183
0.75,0,0.25,0,29454.6855959356,211589.68065428,3307317.40139226,1249344000,13,184
1,0,0,0,343057.622821482,5788621.6556215,-4703391.4436684,1249849600,13,185
0,0.25,0.75,0,34657.7097281531,439017.825845752,3253916.73832571,1248761600,13,186
0.25,0.25,0.5,0,90802.1461497215,1257043.1303179,2899938.2792477,1248787200,13,187
0.5,0.25,0.25,0,208981.479772358,3595256.05545306,1018705.15965558,1249555200,13,188
0.75,0.25,0,0,318937.808165381,6395739.33255668,-6138673.87580007,1249907200,13,189
0,0.5,0.5,0,187767.697121434,3268298.70041232,1367121.18515892,1249568000,13,190
0.25,0.5,0.25,0,290739.931386714,5597490.65997846,-1951865.40399231,1249857008,13,191
0.5,0.5,0,0,313837.974314705,6405651.85328516,-6224903.60938854,1249907200,13,192
0,0.75,0.25,0,301273.069513744,5927185.80039637,-2758574.84030151,1249837808,13,193
0.25,0.75,0,0,311984.981812264,6406868.02364803,-6268168.26733346,1249907200,13,194
0,1,0,0,310569.019803984,6407083.00401355,-6281254.31333409,1249907200,13,195
0,0,1,0,122.757317313729,591.121696729481,3365633.5625217,1248832000,14,196
0.25,0,0.75,0,122.757317313729,591.121696729481,3365633.5625217,1248832000,14,197
0.5,0,0.5,0,28507.8821855738,118438.216210023,3343090.33448999,1248608000,14,198
0.75,0,0.25,0,249192.288278256,1214126.9541732,2894960.37505542,1248640000,14,199
1,0,0,0,1047387.51974783,6227644.21934819,-5469785.75214417,1249894400,14,200
0,0.25,0.75,0,87805.1243919184,439017.825845752,3253916.73832571,1248761600,14,201
0.25,0.25,0.5,0,278699.077925546,1484794.34803082,2772572.55887196,1248582400,14,202
0.5,0.25,0.25,0,721584.473132533,4196755.80906951,295182.021351059,1249018608,14,203
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-6049480.60127289,1249952000,14,204
0,0.5,0.5,0,564768.703353679,3268298.70041232,1367121.18515892,1249568000,14,205
0.25,0.5,0.25,0,934807.082185983,5652937.47496423,-2068401.46044325,1249959408,14,206
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-6192081.11641219,1249907200,14,207
0,0.75,0.25,0,968393.356994413,5927185.80039637,-2758574.84030151,1249837808,14,208
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-6251860.04303581,1249907200,14,209
0,1,0,0,1018326.72922606,6407083.00401355,-6281254.31333409,1249907200,14,210
0,0,1,0,227.090861076194,591.121696729481,3365633.5625217,1248832000,15,211
0.25,0,0.75,0,227.090861076194,591.121696729481,3365633.5625217,1248832000,15,212
0.5,0,0.5,0,93552.9061575942,309928.689013281,3295779.13541369,1249312000,15,213
0.75,0,0.25,0,697315.942997777,2459957.33683016,2076577.28189449,1249478400,15,214
1,0,0,0,1711288.13266197,6368782.01211816,-5918114.7164813,1249952000,15,215
0,0.25,0.75,0,129106.141358039,439017.825845752,3253916.73832571,1248761600,15,216
0.25,0.25,0.5,0,485383.001601289,1713600.94549749,2633810.72518779,1248524800,15,217
0.5,0.25,0.25,0,1294490.95531197,4734563.77358739,-451538.216638145,1249959408,15,218
0.75,0.25,0,0,1707871.84212123,6400125.41887972,-6142052.48223543,1249907200,15,219
0,0.5,0.5,0,901375.319413799,3268298.70041232,1367121.18515892,1249568000,15,220
0.25,0.5,0.25,0,1537945.1406182,5687717.8498211,-2144409.05229067,1249914608,15,221
0.5,0.5,0,0,1704948.55488931,6405443.16015254,-6212547.98664315,1249907200,15,222
0,0.75,0.25,0,1595095.18618937,5927185.80039637,-2758574.84030151,1249837808,15,223
0.25,0.75,0,0,1702827.62972491,6406838.46316918,-6262233.88678221,1249907200,15,224
0,1,0,0,1701285.91957491,6407083.00401355,-6281254.31333409,1249907200,15,225
0,0,1,0,149.49808820201,19281.5589435261,2034761.03109508,1248832000,16,226
0.25,0,0.75,0,3306.49569690206,39433.3467524427,2033886.06279562,1248832000,16,227
0.5,0,0.5,0,16781.3724950746,160989.368475616,2023820.17846249,1249747200,16,228
0.75,0,0.25,0,79023.6808694523,855344.567534438,1883552.82102714,1248627200,16,229
1,0,0,0,343057.622821482,5788621.6556215,-6226383.21650824,1249849600,16,230
0,0.25,0.75,0,101044.945632636,1834524.21255063,1668229.11469071,1248492800,16,231
0.25,0.25,0.5,0,138147.839467342,2459791.5984009,1310280.50107949,1249196800,16,232
0.5,0.25,0.25,0,235301.261977551,4241010.36850156,-327660.096553232,1248653808,16,233
0.75,0.25,0,0,318937.808165381,6395739.33255668,-8137909.72754773,1249907200,16,234
0,0.5,0.5,0,215598.480481142,3983318.84434584,-18008.7760550561,1249869808,16,235
0.25,0.5,0.25,0,279742.571950728,5320935.13936482,-1918837.24389954,1249812208,16,236
0.5,0.5,0,0,313837.974314705,6405651.85328516,-8252358.80956484,1249907200,16,237
0,0.75,0.25,0,292853.497747021,5700432.68285057,-2845918.16575563,1249972208,16,238
0.25,0.75,0,0,311984.981812264,6406868.02364803,-8309578.1387586,1249907200,16,239
0,1,0,0,310569.019803984,6407083.00401355,-8326780.87698215,1249907200,16,240
0,0,1,0,1343.40512090418,19281.5589435261,2034761.03109508,1248832000,17,241
0.25,0,0.75,0,32373.5006798388,170400.951339044,2027781.07322686,1249600000,17,242
0.5,0,0.5,0,189706.009675403,1036792.74238636,1906997.58345504,1248736000,17,243
0.75,0,0.25,0,429352.646195334,2254573.75610796,1322005.50556904,1249516800,17,244
1,0,0,0,1047387.51974783,6227644.21934819,-7247080.44190933,1249894400,17,245
0,0.25,0.75,0,306203.827512384,1834524.21255063,1668229.11469071,1248492800,17,246
0.25,0.25,0.5,0,450491.671665856,2649067.91914266,1175005.11104393,1248486400,17,247
0.5,0.25,0.25,0,802476.25539494,4728050.38989835,-953641.531574154,1249985008,17,248
0.75,0.25,0,0,1034332.31043059,6386180.98331186,-8019206.24048069,1249952000,17,249
0,0.5,0.5,0,669231.440962834,3983318.84434584,-18008.7760550561,1249869808,17,250
0.25,0.5,0.25,0,896232.972358766,5387399.1043275,-2059772.3762526,1249914608,17,251
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-8208676.44447588,1249907200,17,252
0,0.75,0.25,0,936697.084427133,5700432.68285057,-2845918.16575563,1249972208,17,253
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-8287868.44671859,1249907200,17,254
0,1,0,0,1018326.72922606,6407083.00401355,-8326780.87698215,1249907200,17,255
0,0,1,0,3621.33832910158,19281.5589435261,2034761.03109508,1248832000,18,256
0.25,0,0.75,0,128652.998079424,467242.581584935,2004734.58558928,1248787200,18,257
0.5,0,0.5,0,416183.658666983,1497079.91665593,1780945.03179756,1248915200,18,258
0.75,0,0.25,0,932857.578449504,3345186.34354528,569362.996859872,1249113600,18,259
1,0,0,0,1711288.13266197,6368782.01211816,-7844304.34347112,1249952000,18,260
0,0.25,0.75,0,496961.947115169,1834524.21255063,1668229.11469071,1248492800,18,261
0.25,0.25,0.5,0,775921.906189425,2841898.23066837,1037321.38889296,1249356800,18,262
0.5,0.25,0.25,0,1376801.05632745,5049653.04767081,-1425731.99562856,1249921008,18,263
0.75,0.25,0,0,1707871.84212123,6400125.41887972,-8142453.45730432,1249907200,18,264
0,0.5,0.5,0,1085172.61197149,3983318.84434584,-18008.7760550561,1249869808,18,265
0.25,0.5,0.25,0,1472553.12466769,5432953.16518278,-2158365.39822439,1249914608,18,266
0.5,0.5,0,0,1704948.55488931,6405443.16015254,-8235961.30637712,1249907200,18,267
0,0.75,0.25,0,1538246.39683432,5700432.68285057,-2845918.16575563,1249972208,18,268
0.25,0.75,0,0,1702827.62972491,6406838.46316918,-8301678.79229045,1249907200,18,269
0,1,0,0,1701285.91957491,6407083.00401355,-8326780.87698215,1249907200,18,270
